ID;Antig;Idade;Grau_Acad;Rendimento;Filhos;NumCompras;Dias_UltCompra;Vendas;Choc_PretoSim;Choc_PretoRec;Choc_BrancoSim;Choc_BrancoRec;Choc_Ruby;Ovo_Pascoa
1042;902;35;Licenciatura;49 108 €;0;3;80;30;57;9;24;0;10;0
1043;656;18;Secundario;12 808 €;0;3;93;25;6;26;15;19;33;0
1044;1034;56;Mestrado;85 333 €;1;23;13;1019;55;7;27;9;2;0
1045;1208;19;Secundario;33 176 €;0;2;52;40;4;12;27;57;0;1
1046;622;55;Mestrado;93 132 €;1;27;81;1277;53;13;23;9;2;1
1047;1083;23;Licenciatura;47 016 €;0;17;81;644;30;13;45;6;7;0
1048;745;59;Doutoramento;90 841 €;1;16;56;601;62;1;32;1;3;0
1049;927;35;Licenciatura;45 434 €;0;4;14;90;52;2;36;3;7;0
1050;672;60;Mestrado;86 313 €;1;23;31;1018;39;7;38;4;11;0
1051;972;35;Mestrado;36 908 €;1;2;47;25;84;1;13;1;1;0
1052;599;28;Mestrado;42 773 €;0;5;2;84;71;0;27;1;1;1
1053;558;74;Secundario;113 980 €;1;36;73;1854;34;14;33;18;1;0
1054;668;50;Mestrado;80 555 €;1;10;41;298;75;2;17;2;3;0
1055;905;49;Licenciatura;72 287 €;1;18;53;719;40;11;20;6;22;0
1056;989;19;Secundario;25 634 €;0;4;25;46;9;30;26;2;33;0
1057;1240;28;Licenciatura;52 879 €;0;9;36;263;53;5;30;6;5;0
1058;857;28;Licenciatura;58 656 €;0;5;99;122;12;7;50;19;12;0
1059;956;46;Mestrado;64 259 €;1;14;69;493;88;0;10;1;1;0
1060;1055;64;Secundario;85 140 €;1;21;28;899;40;4;35;8;13;0
1061;608;68;Doutoramento;96 070 €;1;27;6;1280;41;2;49;4;4;1
1062;826;30;Mestrado;18 759 €;0;2;14;31;48;4;36;8;4;0
1063;1140;21;Licenciatura;35 696 €;0;6;19;153;9;44;33;12;2;0
1064;999;61;Secundario;87 438 €;1;20;30;830;35;6;15;21;23;0
1065;1084;31;Secundario;43 155 €;0;10;4;299;60;0;27;8;5;0
1066;737;74;Mestrado;101 058 €;1;32;33;1605;47;10;39;3;2;1
1067;1216;36;Licenciatura;52 447 €;0;7;83;187;74;3;17;2;5;1
1068;571;46;Licenciatura;78 722 €;0;7;90;184;95;1;3;1;0;1
1069;1217;27;Mestrado;38 151 €;0;4;47;71;45;7;46;1;1;0
1070;1051;60;Mestrado;91 907 €;1;31;45;1537;57;7;18;7;11;0
1071;1199;57;Mestrado;71 922 €;1;19;38;767;61;12;14;12;0;0
1072;772;22;Secundario;38 407 €;0;3;6;49;13;26;23;16;22;0
1073;771;40;Doutoramento;53 415 €;0;2;49;35;72;1;23;1;3;0
1074;881;33;Doutoramento;60 457 €;0;3;73;63;37;2;51;6;3;0
1075;1239;61;Mestrado;83 842 €;1;26;26;1213;42;11;41;5;2;0
1076;801;29;Doutoramento;62 311 €;0;6;86;148;68;1;27;3;1;1
1077;602;70;Licenciatura;116 259 €;1;27;35;1279;17;6;54;3;20;0
1078;651;46;Licenciatura;72 860 €;1;4;44;89;51;5;21;15;8;0
1079;1078;38;Mestrado;51 581 €;0;3;84;56;53;5;34;6;3;0
1080;883;47;Mestrado;75 274 €;1;9;67;263;88;3;6;1;2;0
1081;1070;20;Secundario;27 321 €;1;1;16;20;27;20;25;15;12;0
1082;1215;61;Licenciatura;78 516 €;1;24;79;1086;47;0;22;21;10;0
1083;838;37;Licenciatura;52 802 €;0;11;41;338;66;1;29;2;2;1
1084;952;68;Mestrado;84 107 €;1;18;35;711;39;3;51;4;4;0
1085;983;22;Licenciatura;50 847 €;0;4;69;74;12;21;37;1;28;1
1086;950;57;Licenciatura;79 899 €;1;24;43;1083;70;5;13;2;9;0
1087;570;74;Secundario;100 752 €;0;19;48;779;63;7;19;7;4;1
1088;967;33;Secundario;59 365 €;0;19;90;775;23;2;52;23;0;1
1089;1106;41;Mestrado;57 886 €;0;5;59;118;81;2;15;1;1;0
1090;916;59;Mestrado;63 886 €;1;10;89;301;74;2;22;2;1;0
1091;905;46;Mestrado;72 804 €;0;8;85;221;66;6;21;6;1;0
1092;621;47;Licenciatura;70 162 €;1;15;95;538;64;4;21;5;6;1
1093;997;20;Secundario;15 463 €;0;4;75;45;16;10;22;48;4;0
1094;933;51;Doutoramento;90 240 €;1;16;8;600;91;0;8;0;1;0
1095;723;28;Mestrado;35 844 €;0;2;12;40;61;2;34;1;2;1
1096;728;47;Mestrado;62 290 €;1;10;38;302;86;0;12;1;1;0
1097;607;29;Doutoramento;55 137 €;0;4;75;56;71;3;21;1;4;0
1098;574;40;Mestrado;58 088 €;0;3;70;42;59;5;26;9;1;0
1099;946;28;Mestrado;40 645 €;0;3;1;48;66;1;26;1;6;0
1100;793;74;Licenciatura;97 204 €;1;38;74;1976;54;7;38;0;1;1
1101;670;45;Doutoramento;47 267 €;1;2;98;34;84;1;12;2;1;0
1102;937;78;Licenciatura;98 143 €;1;19;29;780;24;12;42;18;4;0
1103;973;75;Secundario;101 642 €;1;39;54;2039;31;9;50;0;10;1
1104;580;60;Licenciatura;94 496 €;1;22;71;950;39;1;35;13;12;0
1105;793;67;Mestrado;103 498 €;0;25;53;1155;85;2;10;2;1;1
1106;1126;24;Mestrado;21 958 €;1;3;30;26;21;3;29;17;30;0
1107;1206;21;Secundario;24 589 €;0;2;98;29;18;21;30;16;15;0
1108;767;23;Mestrado;10 000 €;1;3;12;34;10;32;37;2;20;0
1109;1165;20;Secundario;33 111 €;1;7;19;181;62;8;17;7;7;0
1110;842;27;Mestrado;50 468 €;0;3;43;41;24;1;43;22;10;0
1111;675;33;Mestrado;63 453 €;0;4;78;54;40;8;28;10;13;0
1112;636;54;Mestrado;69 431 €;1;4;77;74;81;1;17;0;1;1
1113;1032;77;Licenciatura;127 392 €;1;45;92;2412;20;9;56;13;2;1
1114;599;31;Licenciatura;56 646 €;0;1;373;20;19;16;47;2;16;0
1115;647;63;Licenciatura;108 597 €;1;28;21;1340;57;7;30;0;6;1
1116;567;25;Licenciatura;48 600 €;0;4;74;47;45;10;37;6;3;0
1117;940;52;Licenciatura;66 027 €;0;1;310;19;80;0;12;5;3;0
1118;885;58;Mestrado;79 072 €;1;23;81;1020;41;6;42;6;5;0
1119;911;76;Licenciatura;117 796 €;1;38;32;1983;53;9;28;3;7;1
1120;649;27;Mestrado;45 267 €;0;2;11;42;60;1;33;3;4;0
1121;1212;32;Mestrado;48 368 €;0;16;93;597;58;5;28;7;3;0
1122;1089;69;Mestrado;105 286 €;1;38;15;1983;36;9;45;8;2;0
1123;1185;55;Licenciatura;74 216 €;1;27;1;1284;54;0;32;6;7;0
1124;1031;50;Mestrado;82 702 €;1;28;28;1346;82;5;12;1;1;0
1125;813;60;Mestrado;78 683 €;1;19;31;770;67;2;25;1;5;1
1126;963;61;Mestrado;96 657 €;1;24;90;1079;63;3;18;6;9;0
1127;709;66;Licenciatura;97 206 €;1;27;52;1272;32;9;35;11;13;1
1128;1156;71;Licenciatura;96 314 €;1;23;8;1015;15;13;34;25;13;0
1129;994;45;Licenciatura;69 083 €;0;3;37;64;81;4;11;0;3;0
1130;1207;78;Licenciatura;100 096 €;1;34;52;1722;50;7;24;9;9;0
1131;964;37;Mestrado;51 493 €;1;8;56;224;50;8;20;12;10;0
1132;894;52;Licenciatura;57 696 €;0;2;30;35;84;1;13;1;1;0
1133;812;27;Licenciatura;40 112 €;0;1;300;18;32;13;34;7;14;0
1134;1141;77;Licenciatura;117 551 €;1;42;91;2226;37;14;36;11;2;1
1135;685;72;Mestrado;105 123 €;1;31;84;1531;37;2;49;7;5;1
1136;897;51;Mestrado;78 676 €;0;4;39;91;93;0;6;0;1;0
1137;1072;61;Licenciatura;100 096 €;1;25;83;1145;51;3;27;0;19;0
1138;951;29;Mestrado;55 637 €;0;2;92;42;32;15;36;5;12;0
1139;1228;56;Mestrado;73 488 €;1;23;64;1026;60;7;23;2;8;0
1140;988;65;Licenciatura;104 547 €;1;34;16;1728;38;1;31;5;25;1
1141;611;70;Mestrado;120 329 €;1;32;27;1601;74;2;22;1;1;1
1142;878;22;Licenciatura;52 819 €;1;6;23;148;24;8;41;20;6;0
1143;628;44;Doutoramento;65 224 €;0;3;21;63;83;1;15;1;0;0
1144;1038;54;Licenciatura;88 404 €;1;26;56;1212;90;1;8;1;1;1
1145;710;50;Mestrado;65 582 €;1;3;92;65;86;0;12;1;1;0
1146;554;61;Mestrado;95 316 €;1;18;49;715;40;3;37;20;0;0
1147;935;54;Mestrado;67 192 €;1;7;53;180;90;1;8;1;1;1
1148;1171;50;Mestrado;69 016 €;1;15;48;542;88;1;10;1;0;0
1149;914;32;Mestrado;55 832 €;0;15;74;538;39;1;56;1;3;0
1150;837;30;Licenciatura;44 929 €;0;1;134;19;24;18;42;1;16;1
1151;1043;47;Mestrado;74 329 €;1;20;55;825;49;7;36;0;7;0
1152;773;37;Mestrado;60 350 €;0;5;67;89;47;7;29;3;14;0
1153;868;66;Licenciatura;94 214 €;1;22;68;962;36;6;27;10;21;0
1154;928;73;Licenciatura;108 936 €;1;34;87;1733;28;5;47;9;11;1
1155;1029;31;Licenciatura;40 224 €;0;9;51;254;61;8;26;0;5;0
1156;774;26;Secundario;29 821 €;0;5;29;54;33;14;30;13;11;1
1157;728;67;Licenciatura;86 417 €;0;17;81;653;45;0;19;21;15;0
1158;721;44;Doutoramento;60 716 €;1;11;95;339;86;1;12;1;1;0
1159;854;41;Mestrado;70 965 €;0;5;11;120;70;3;21;3;3;0
1160;685;67;Mestrado;100 270 €;1;15;52;537;63;2;32;2;0;0
1161;1134;49;Mestrado;63 887 €;1;15;72;538;94;0;5;0;0;1
1162;638;29;Licenciatura;40 125 €;0;4;79;40;29;8;42;7;15;0
1163;802;73;Secundario;101 972 €;1;29;84;1414;24;27;36;11;2;0
1164;896;42;Licenciatura;71 996 €;1;19;52;765;39;25;13;16;7;0
1165;812;25;Mestrado;43 284 €;0;4;39;93;78;1;16;1;3;0
1166;1134;64;Mestrado;92 753 €;1;29;8;1411;79;1;19;1;1;0
1167;1093;42;Mestrado;61 649 €;0;3;89;64;82;2;14;1;0;0
1168;922;58;Licenciatura;75 961 €;1;9;3;261;43;15;22;14;7;0
1169;809;35;Mestrado;65 043 €;0;2;48;42;56;2;38;2;2;0
1170;862;64;Mestrado;82 047 €;1;20;5;830;60;4;27;7;2;0
1171;795;55;Licenciatura;82 085 €;0;18;15;718;59;9;15;11;6;0
1172;675;73;Mestrado;107 168 €;1;27;88;1285;39;7;44;6;4;0
1173;555;18;Secundario;33 397 €;0;3;99;30;10;16;11;18;45;0
1174;611;69;Mestrado;86 238 €;1;19;47;764;34;3;50;6;6;0
1175;986;41;Mestrado;44 301 €;0;4;44;53;47;3;44;3;3;0
1176;783;68;Licenciatura;94 717 €;1;26;66;1212;60;7;26;2;5;1
1177;1217;45;Mestrado;69 954 €;1;14;12;494;87;1;10;1;1;0
1178;879;54;Licenciatura;97 623 €;1;16;90;593;80;2;11;5;2;0
1179;621;50;Mestrado;54 582 €;1;9;77;256;91;1;8;0;0;1
1180;895;74;Doutoramento;102 529 €;1;23;92;1022;69;1;28;1;1;0
1181;636;46;Mestrado;67 967 €;1;9;87;264;74;1;13;7;5;1
1182;736;18;Secundario;31 351 €;0;2;11;34;7;11;13;32;37;1
1183;814;60;Doutoramento;78 591 €;1;17;48;658;62;3;30;2;3;0
1184;612;29;Mestrado;37 250 €;0;3;31;26;53;3;31;5;7;0
1185;875;55;Secundario;76 329 €;1;8;50;217;46;2;15;13;25;0
1186;612;77;Licenciatura;120 491 €;1;34;2;1722;17;3;57;10;13;0
1187;1223;31;Mestrado;41 672 €;0;3;15;52;29;4;55;5;7;0
1188;1125;39;Mestrado;70 908 €;0;19;33;768;83;0;14;2;1;0
1189;623;37;Mestrado;51 478 €;1;4;89;47;22;23;10;15;30;0
1190;1230;52;Mestrado;80 250 €;1;21;21;888;90;0;9;0;0;0
1191;1051;45;Secundario;55 691 €;1;14;31;488;62;6;27;5;0;0
1192;938;19;Secundario;29 745 €;0;4;40;48;8;21;36;7;28;0
1193;800;62;Licenciatura;87 179 €;1;14;62;496;41;15;29;12;2;0
1194;947;65;Mestrado;101 969 €;1;29;72;1404;27;17;33;18;6;0
1195;679;51;Mestrado;74 695 €;0;10;23;306;84;0;14;0;1;0
1196;1131;40;Mestrado;81 488 €;0;20;26;833;77;1;22;0;0;0
1197;623;50;Mestrado;73 665 €;1;5;81;119;82;1;16;1;0;0
1198;561;27;Mestrado;51 209 €;0;4;59;93;60;2;34;2;3;1
1199;659;65;Licenciatura;95 236 €;0;16;26;590;36;21;30;2;11;0
1200;1086;75;Mestrado;124 801 €;1;47;47;2526;57;5;29;7;2;1
1201;818;64;Licenciatura;81 779 €;1;5;24;121;56;9;20;8;7;0
1202;824;44;Mestrado;50 648 €;0;4;46;90;68;3;27;0;2;0
1203;1184;25;Licenciatura;48 015 €;0;3;18;63;30;5;48;11;6;0
1204;953;42;Licenciatura;61 042 €;0;11;11;347;68;0;28;3;1;0
1205;873;40;Mestrado;61 365 €;1;6;76;149;67;1;25;4;3;1
1206;703;42;Licenciatura;40 840 €;0;3;67;44;63;4;28;3;1;0
1207;942;28;Secundario;36 825 €;0;3;84;36;12;12;38;7;31;0
1208;609;60;Licenciatura;99 504 €;1;11;98;338;21;14;17;15;33;0
1209;1076;53;Doutoramento;73 278 €;1;26;55;1209;95;0;5;0;0;1
1210;617;70;Mestrado;94 293 €;1;23;48;1024;72;2;20;3;3;1
1211;946;26;Licenciatura;28 901 €;0;3;48;31;22;21;27;15;15;0
1212;860;41;Mestrado;68 560 €;0;4;30;92;78;5;15;2;0;0
1213;883;54;Mestrado;70 465 €;1;15;67;549;89;0;10;1;0;0
1214;740;78;Licenciatura;129 947 €;1;35;52;1795;38;6;25;5;25;1
1215;1010;22;Licenciatura;36 103 €;0;5;2;118;12;31;33;14;10;0
1216;1237;24;Mestrado;25 100 €;0;5;96;117;22;16;39;3;20;0
1217;839;26;Licenciatura;57 319 €;0;6;10;154;24;6;50;12;8;0
1218;585;37;Licenciatura;73 877 €;1;17;51;661;59;7;21;7;6;1
1219;729;44;Licenciatura;63 622 €;1;15;9;536;62;6;19;7;6;1
1220;675;59;Licenciatura;92 992 €;1;20;55;834;54;13;28;2;3;1
1221;895;73;Mestrado;98 825 €;1;25;88;1141;25;7;54;9;5;0
1222;900;18;Secundario;17 957 €;0;2;24;16;8;31;19;30;12;0
1223;763;32;Mestrado;71 679 €;0;3;99;64;37;19;32;6;6;0
1224;832;31;Mestrado;50 382 €;0;4;50;90;45;2;45;4;4;0
1225;1170;61;Doutoramento;91 198 €;1;28;24;1345;84;1;13;1;1;1
1226;987;75;Licenciatura;111 889 €;1;38;12;1980;26;11;37;16;10;0
1227;968;55;Mestrado;79 717 €;1;19;1;779;51;8;26;12;3;0
1228;983;41;Mestrado;62 409 €;1;20;87;831;79;1;19;1;1;1
1229;1199;38;Licenciatura;57 092 €;0;10;19;298;40;10;39;6;5;0
1230;576;27;Mestrado;43 545 €;0;5;27;119;37;10;41;3;9;0
1231;614;64;Doutoramento;99 829 €;1;26;30;1210;76;0;22;1;1;1
1232;718;37;Mestrado;39 912 €;0;2;76;17;68;2;28;0;2;0
1233;1200;76;Mestrado;109 776 €;1;38;89;1977;42;3;49;2;4;1
1234;1094;34;Licenciatura;35 980 €;1;5;8;118;33;7;25;33;2;0
1235;597;50;Licenciatura;84 748 €;1;13;14;433;82;0;16;1;1;1
1236;870;48;Doutoramento;67 136 €;1;13;45;442;92;0;7;0;1;1
1237;1212;64;Mestrado;96 941 €;1;39;71;2042;81;1;17;1;0;1
1238;1178;47;Licenciatura;74 970 €;1;13;79;446;81;1;14;2;2;0
1239;657;57;Licenciatura;77 583 €;1;14;3;483;50;9;27;10;4;0
1240;1223;58;Licenciatura;78 371 €;1;29;30;1414;64;2;28;3;3;0
1241;628;61;Licenciatura;88 600 €;1;20;36;826;37;15;31;11;6;0
1242;561;64;Licenciatura;106 486 €;1;18;12;714;10;14;39;20;17;0
1243;918;75;Licenciatura;90 885 €;1;26;54;1220;47;11;31;10;1;0
1244;603;63;Licenciatura;88 011 €;1;16;44;599;29;23;28;12;9;0
1245;752;20;Secundario;22 670 €;0;4;37;33;9;16;38;12;25;0
1246;1080;54;Mestrado;97 510 €;1;28;51;1336;64;7;23;2;4;0
1247;708;52;Mestrado;69 233 €;1;5;91;118;84;0;15;0;0;0
1248;658;49;Licenciatura;85 496 €;1;22;32;960;42;11;35;11;1;0
1249;708;67;Secundario;95 093 €;1;26;82;1213;23;33;17;21;6;0
1250;1168;22;Licenciatura;27 201 €;0;2;84;41;15;1;31;15;38;0
1251;841;18;Secundario;21 075 €;0;3;9;29;7;41;17;5;30;0
1252;1026;57;Mestrado;73 330 €;1;13;3;440;35;5;46;7;7;0
1253;586;68;Mestrado;110 106 €;1;28;25;1344;30;4;55;5;6;0
1254;583;74;Mestrado;117 504 €;1;34;19;1731;73;2;23;1;1;1
1255;829;73;Mestrado;113 663 €;0;26;48;1205;79;2;12;0;7;1
1256;735;60;Mestrado;80 154 €;1;15;72;544;69;5;22;3;1;0
1257;888;63;Mestrado;82 472 €;0;12;24;396;82;0;13;2;3;0
1258;1084;61;Mestrado;96 620 €;1;29;88;1405;61;7;20;7;5;0
1259;1066;61;Licenciatura;88 205 €;1;26;67;1204;56;3;31;3;7;0
1260;926;53;Mestrado;75 049 €;1;26;53;1205;71;2;22;2;2;0
1261;682;18;Secundario;19 228 €;1;1;81;10;8;9;26;22;34;1
1262;781;35;Licenciatura;71 283 €;1;14;91;484;50;2;24;13;11;0
1263;783;59;Licenciatura;100 800 €;1;21;45;885;26;17;37;8;13;0
1264;883;74;Mestrado;103 687 €;1;26;40;1206;84;1;14;1;1;1
1265;949;36;Doutoramento;61 476 €;0;1;371;14;79;6;9;4;3;0
1266;637;77;Secundario;104 585 €;1;31;34;1532;36;16;30;13;6;1
1267;1051;22;Licenciatura;29 911 €;0;3;25;44;11;28;25;5;31;0
1268;993;34;Mestrado;38 569 €;0;4;19;68;43;5;48;3;1;0
1269;881;75;Mestrado;136 690 €;1;43;42;2288;34;7;46;9;4;1
1270;985;57;Licenciatura;83 040 €;1;17;75;651;64;3;28;3;3;0
1271;584;39;Doutoramento;41 124 €;0;2;43;27;90;0;9;1;0;1
1272;895;72;Secundario;95 428 €;0;24;57;1091;61;5;27;4;3;0
1273;675;33;Licenciatura;37 491 €;0;3;42;40;30;12;33;22;2;0
1274;1217;58;Licenciatura;93 840 €;1;27;81;1268;61;4;23;6;6;0
1275;756;76;Doutoramento;114 125 €;1;38;21;1981;35;8;41;5;12;1
1276;1235;38;Doutoramento;46 960 €;0;7;23;181;86;0;13;0;0;0
1277;1188;72;Mestrado;109 238 €;0;36;60;1858;80;3;15;2;0;1
1278;1171;25;Mestrado;49 953 €;0;11;68;347;54;5;29;4;8;1
1279;967;18;Secundario;22 963 €;0;5;90;59;2;23;34;18;22;0
1280;952;48;Mestrado;64 122 €;1;9;83;257;69;0;25;3;3;0
1281;1102;62;Mestrado;72 745 €;1;19;25;773;70;3;22;3;2;0
1282;723;52;Licenciatura;66 286 €;1;9;45;260;71;1;21;4;3;0
1283;555;53;Mestrado;80 710 €;1;7;13;187;91;0;8;0;1;0
1284;986;34;Mestrado;44 785 €;1;3;65;64;21;2;28;30;19;0
1285;778;38;Mestrado;65 613 €;0;9;50;260;83;1;14;1;1;0
1286;690;21;Licenciatura;30 511 €;1;3;30;46;4;27;18;47;3;0
1287;923;58;Licenciatura;94 007 €;1;28;45;1337;71;2;16;6;5;0
1288;682;65;Licenciatura;84 893 €;1;16;3;598;27;13;43;8;9;0
1289;578;75;Licenciatura;108 668 €;1;27;46;1274;32;9;41;14;4;0
1290;713;58;Licenciatura;81 245 €;1;19;41;775;29;20;20;19;12;0
1291;1040;47;Mestrado;62 611 €;1;6;65;151;69;3;26;0;1;0
1292;1239;74;Mestrado;104 915 €;1;36;13;1859;44;10;37;6;3;1
1293;1207;47;Secundario;81 057 €;1;17;87;654;73;3;19;2;3;0
1294;726;40;Doutoramento;78 444 €;0;12;84;393;81;0;17;1;1;0
1295;1134;23;Mestrado;20 110 €;0;3;22;47;11;9;55;12;13;0
1296;963;44;Licenciatura;83 295 €;0;15;93;543;44;1;46;3;6;0
1297;1119;44;Mestrado;50 933 €;0;1;419;18;69;2;26;2;1;0
1298;565;41;Licenciatura;67 726 €;1;9;88;254;27;27;21;19;5;0
1299;1054;26;Mestrado;22 569 €;0;5;50;50;41;5;47;5;3;0
1300;758;65;Licenciatura;87 490 €;1;17;27;657;14;29;40;6;11;0
1301;1154;31;Mestrado;41 980 €;1;7;95;183;40;9;33;0;17;0
1302;987;56;Mestrado;73 751 €;1;19;78;776;64;5;25;5;1;0
1303;819;60;Licenciatura;83 379 €;1;11;13;347;47;14;26;0;13;0
1304;570;40;Secundario;60 247 €;0;3;56;44;40;6;37;14;3;0
1305;907;63;Mestrado;80 906 €;1;23;59;1019;80;2;16;0;2;1
1306;1029;72;Licenciatura;104 327 €;1;30;89;1469;21;21;30;28;0;0
1307;948;61;Licenciatura;88 379 €;1;19;10;773;58;2;25;14;1;1
1308;575;69;Mestrado;103 991 €;1;27;92;1278;37;2;53;5;3;0
1309;574;34;Licenciatura;50 663 €;0;3;85;43;28;10;42;10;10;0
1310;1207;33;Mestrado;48 530 €;0;9;37;263;53;4;37;2;4;0
1311;1202;39;Mestrado;58 432 €;0;6;18;153;63;1;28;6;2;0
1312;819;71;Licenciatura;97 834 €;1;30;59;1471;36;6;40;5;13;0
1313;1137;70;Mestrado;109 845 €;1;34;55;1728;57;3;25;8;7;1
1314;765;62;Licenciatura;99 255 €;1;18;30;718;63;3;23;6;4;0
1315;1118;74;Licenciatura;96 241 €;1;43;16;2289;37;4;46;5;8;1
1316;713;54;Licenciatura;87 110 €;1;19;58;770;85;1;12;0;2;1
1317;974;45;Mestrado;62 751 €;1;17;49;646;48;15;25;5;7;0
1318;799;33;Mestrado;33 174 €;0;6;27;150;68;3;24;2;3;0
1319;1244;27;Doutoramento;36 910 €;0;10;90;304;50;3;40;3;4;0
1320;921;68;Licenciatura;123 191 €;1;40;76;2104;29;8;37;15;11;1
1321;1060;64;Mestrado;94 710 €;1;31;63;1528;65;7;25;2;1;0
1322;925;37;Mestrado;60 114 €;0;6;78;154;76;0;16;4;4;0
1323;755;34;Mestrado;67 976 €;0;7;56;186;41;3;41;7;8;0
1324;784;75;Mestrado;105 141 €;1;28;83;1333;54;4;31;6;5;1
1325;1045;77;Licenciatura;93 416 €;1;34;70;1727;30;6;43;10;11;0
1326;954;57;Licenciatura;79 902 €;1;18;38;709;38;12;35;2;14;0
1327;730;53;Licenciatura;81 447 €;1;16;17;598;79;4;15;1;1;0
1328;1161;19;Secundario;41 067 €;1;2;23;32;28;13;16;35;8;0
1329;698;64;Mestrado;97 804 €;1;27;5;1269;71;2;23;0;3;0
1330;688;60;Mestrado;106 072 €;1;38;8;1984;73;5;21;0;1;1
1331;748;78;Licenciatura;110 011 €;1;29;9;1401;33;15;38;7;7;0
1332;1067;76;Doutoramento;123 537 €;1;34;84;1734;55;2;41;1;1;0
1333;661;54;Licenciatura;86 946 €;1;18;25;704;89;0;10;0;1;1
1334;951;71;Doutoramento;93 639 €;1;21;28;890;29;4;62;3;2;0
1335;600;26;Doutoramento;37 229 €;0;3;80;31;36;1;44;5;15;0
1336;850;38;Licenciatura;64 355 €;0;2;50;40;58;4;28;3;7;0
1337;970;53;Doutoramento;72 706 €;1;16;90;595;85;0;14;0;0;0
1338;817;21;Secundario;38 502 €;0;2;45;22;25;39;24;3;9;0
1339;1225;21;Licenciatura;30 011 €;1;5;64;120;10;12;55;14;9;0
1340;1088;68;Doutoramento;79 450 €;1;23;18;1010;75;2;20;1;2;0
1341;641;52;Mestrado;68 425 €;1;11;97;345;86;0;13;0;0;0
1342;1033;77;Mestrado;110 675 €;1;34;31;1726;39;13;37;5;6;0
1343;724;26;Secundario;49 372 €;0;1;196;18;37;11;18;18;16;0
1344;787;28;Mestrado;34 755 €;0;4;49;47;48;6;39;2;5;0
1345;1125;51;Licenciatura;87 806 €;1;28;79;1340;93;1;5;0;1;1
